2024-09-05 13:30:46.606,f1f16500000007
2024-09-05 13:30:49.625,f1f16500000007
2024-09-05 13:30:52.644,f1f16500000007
2024-09-05 13:30:55.665,f1f16500000007
2024-09-05 13:30:58.684,f1f16500000007
2024-09-05 13:31:01.706,f1f16500000007
2024-09-05 13:31:04.624,f1f16500000007
2024-09-05 13:31:07.642,f1f16500000007
2024-09-05 13:31:10.662,f1f16500000007
2024-09-05 13:31:13.681,f1f16500000007
2024-09-05 13:31:16.710,f1f16500000007
2024-09-05 13:31:19.629,f1f16500000007
2024-09-05 13:31:22.647,f1f16500000007
2024-09-05 13:31:25.667,f1f16500000007
2024-09-05 13:31:28.686,f1f16500000007
2024-09-05 13:31:31.706,f1f16500000007
2024-09-05 13:31:34.626,f1f16500000007
2024-09-05 13:31:37.643,f1f16500000007
